% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($)
0.70,TECN SW,TECAN GROUP AG-REG,7110902,240.5727334511487,"99,025.00","23,822,714.93"
0.65,300024 C2,SIASUN ROBOT & AUTOMATION-A,BD5CNQ8,2.128484125409688,"10,363,984.00","22,059,575.42"
0.62,2252 HK,SHANGHAI MICROPORT MEDBOT-H,BMX6SZ9,2.701168847951957,"7,892,900.00","21,320,055.60"
0.58,PONY,PONY AI INC,BRWKBD6,7.35,"2,717,775.00","19,975,646.25"
0.55,HSAI,HESAI GROUP,BMWS7Y8,18.89,"1,003,621.00","18,958,400.69"
0.52,OUST,OUSTER INC,BMHVMY7,36.43,"484,291.00","17,642,721.13"
0.44,WRD,WERIDE INC-ADR,BMYDW80,5.98,"2,499,671.00","14,948,032.58"
0.44,ATS CN,ATS CORP,BP8JT73,19.61350911611776,"759,479.00","14,896,048.29"
0.37,APPN,APPIAN CORP-A,BYPBTB9,38.37,"330,633.00","12,686,388.21"
0.35,OMCL,OMNICELL INC,2789523,34.37,"350,385.00","12,042,732.45"
0.33,EXA FP,EXAIL TECHNOLOGIES,B06BGH5,144.387138697221,"78,985.00","11,404,418.15"
0.31,6600 HK,ONEROBOTICS SHENZHEN CO -H,BVN4D40,6.019601967081493,"1,743,700.00","10,496,379.95"
0.29,PRCT,PROCEPT BIOROBOTICS CORP,BMYRFV6,22.76,"434,877.00","9,897,800.52"
0.26,2432 HK,SHENZHEN DOBOT CORP LTD-H,BTDQ4G1,2.966439444517746,"3,031,600.00","8,993,057.82"
0.26,NQU6 Index,NASDAQ 100 E-MINI SEP26,,591305.0,15.00,"8,869,575.00"
0.26,2498 HK,ROBOSENSE TECHNOLOGY CO LTD,BNG5JM4,2.331320422365569,"3,736,100.00","8,710,046.23"
0.24,,OTHER PAYABLE & RECEIVABLES,,1.0,"8,194,614.74","8,194,614.74"
0.23,688165 C1,EFORT INTELLIGENT ROBOT CO-A,BPDWRG2,2.290952452377381,"3,453,506.00","7,911,818.04"
0.16,6258 JP,HIRATA CORP,B1GZ9S6,22.12899506918016,"248,843.00","5,506,645.52"
0.16,6104 JP,"SHIBAURA MACHINE CO., LTD",6897262,28.72606159087109,"191,392.00","5,497,938.38"
0.13,388720 KS,YUIL ROBOTICS CO LTD,BPJGTG2,48.11428990862007,"90,939.00","4,375,465.41"
0.12,090360 KS,ROBOSTAR CO LTD,B5LTV29,56.55279623941171,"75,201.00","4,252,826.83"
0.09,CRNC,CERENCE INC,BJNPYY6,8.530000000000001,"347,233.00","2,961,897.49"
0.08,SERV,SERVE ROBOTICS INC,BPBJW48,4.944999999999999,"574,254.00","2,839,686.03"
0.07,RR,RICHTECH ROBOTICS INC-CL B,BNV0DF5,1.75,"1,416,210.00","2,478,367.50"
0.06,2121 HK,AINNOVATION TECHNOLOGY GRO-H,BMDWT54,0.4999330444948765,"4,362,300.00","2,180,857.92"
0.06,EH,EHANG HOLDINGS LTD-SPS ADR,BJBYDW6,4.69,"404,698.00","1,898,033.62"
0.05,455900 KS,ANGEL ROBOTICS CO LTD,BRC2TP0,15.17450683828066,"116,696.00","1,770,804.25"
10.29,6861 JP,KEYENCE CORP,6490995,497.7903029484589,"707,183.00","352,028,839.81"
10.11,NVDA,NVIDIA CORP,2379504,230.36,"1,500,749.00","345,712,539.64"
9.07,ABBN SW,ABB LTD-REG,7108899,95.9822255142642,"3,231,024.00","310,120,874.21"
7.70,6954 JP,FANUC CORP,6356934,37.98757445692988,"6,935,016.00","263,444,436.66"
5.94,ISRG,INTUITIVE SURGICAL INC,2871301,366.7,"553,884.00","203,109,262.80"
4.45,6273 JP,SMC CORP,6763965,430.0262601655882,"353,890.00","152,181,993.21"
3.93,300124 C2,SHENZHEN INOVANCE TECHNOLO-A,BD5CMN8,8.840363690532444,"15,194,924.00","134,328,654.41"
3.11,6383 JP,DAIFUKU CO LTD,6250025,36.25824633398657,"2,930,022.00","106,237,459.44"
2.77,300757 C2,ROBOTECHNIK INTELLIGENT TE-A,BNHPGJ9,85.55522432167257,"1,105,845.00","94,610,817.04"
2.35,AUR,AURORA INNOVATION INC,BMF0P92,6.34,"12,653,695.00","80,224,426.30"
